iter	Passed	Remaining
0	140	140752
1	141	70688
2	142	47292
3	143	35613
4	143	28642
5	144	23968
6	145	20633
7	146	18126
8	146	16174
9	147	14614
10	148	13330
11	148	12262
12	149	11359
13	150	10587
14	151	9916
15	151	9327
16	152	8809
17	153	8349
18	153	7935
19	154	7571
20	155	7240
21	156	6936
22	156	6661
23	157	6404
24	158	6170
25	159	5958
26	159	5759
27	160	5573
28	161	5397
29	161	5233
30	162	5080
31	163	4940
32	163	4804
33	164	4677
34	165	4556
35	165	4442
36	166	4334
37	167	4233
38	167	4138
39	168	4046
40	169	3959
41	169	3875
42	170	3796
43	171	3719
44	171	3646
45	172	3577
46	173	3510
47	173	3448
48	174	3390
49	175	3332
50	176	3275
51	176	3221
52	177	3170
53	178	3120
54	178	3072
55	179	3025
56	180	2979
57	180	2936
58	181	2893
59	182	2852
60	182	2814
61	183	2775
62	184	2738
63	184	2703
64	185	2668
65	186	2634
66	186	2602
67	187	2566
68	187	2535
69	188	2506
70	189	2477
71	190	2449
72	190	2421
73	191	2394
74	192	2368
75	192	2343
76	193	2317
77	193	2292
78	194	2270
79	195	2247
80	196	2225
81	196	2203
82	197	2182
83	198	2161
84	198	2138
85	199	2118
86	199	2096
87	200	2077
88	201	2058
89	201	2040
90	202	2022
91	203	2004
92	203	1987
93	204	1971
94	205	1955
95	205	1939
96	206	1924
97	207	1908
98	208	1893
99	208	1878
100	209	1864
101	209	1846
102	210	1832
103	211	1818
104	211	1805
105	212	1791
106	213	1778
107	213	1764
108	214	1752
109	215	1739
110	215	1727
111	216	1714
112	216	1702
113	217	1690
114	218	1679
115	218	1667
116	219	1657
117	220	1646
118	220	1635
119	221	1624
120	222	1614
121	222	1604
122	223	1592
123	223	1582
124	224	1572
125	225	1562
126	226	1553
127	226	1542
128	227	1533
129	227	1523
130	228	1514
131	228	1505
132	229	1497
133	230	1488
134	230	1479
135	231	1471
136	232	1462
137	232	1453
138	233	1445
139	233	1437
140	234	1429
141	235	1422
142	236	1414
143	236	1408
144	237	1401
145	238	1393
146	238	1386
147	239	1379
148	240	1372
149	240	1365
150	241	1358
151	242	1351
152	242	1344
153	243	1338
154	244	1331
155	244	1324
156	245	1318
157	246	1312
158	246	1305
159	247	1299
160	248	1293
161	248	1286
162	249	1280
163	250	1276
164	251	1270
165	251	1264
166	252	1259
167	253	1253
168	253	1248
169	254	1242
170	255	1237
171	255	1231
172	256	1226
173	257	1220
174	257	1215
175	258	1209
176	259	1204
177	259	1199
178	260	1194
179	261	1189
180	261	1182
181	262	1177
182	262	1172
183	263	1167
184	263	1162
185	264	1158
186	265	1154
187	266	1150
188	267	1145
189	267	1141
190	268	1136
191	269	1132
192	269	1128
193	270	1124
194	271	1119
195	271	1115
196	272	1110
197	273	1106
198	273	1102
199	274	1097
200	275	1093
201	275	1089
202	276	1085
203	277	1080
204	277	1076
205	278	1072
206	278	1068
207	279	1064
208	280	1061
209	281	1057
210	281	1053
211	282	1050
212	283	1046
213	283	1042
214	284	1039
215	285	1035
216	285	1031
217	286	1027
218	287	1023
219	287	1020
220	288	1016
221	289	1012
222	289	1009
223	290	1005
224	290	1001
225	291	998
226	292	994
227	292	991
228	293	988
229	294	985
230	294	981
231	295	978
232	296	975
233	297	972
234	297	969
235	298	966
236	299	963
237	299	960
238	300	956
239	301	953
240	301	950
241	302	947
242	303	944
243	303	940
244	304	937
245	304	934
246	305	931
247	306	928
248	306	925
249	307	922
250	308	920
251	308	916
252	309	913
253	310	911
254	310	908
255	311	905
256	312	903
257	312	900
258	313	897
259	314	894
260	314	891
261	315	888
262	316	886
263	316	883
264	317	880
265	318	877
266	318	875
267	319	872
268	319	869
269	320	866
270	321	864
271	321	861
272	322	858
273	323	856
274	323	853
275	324	851
276	325	849
277	326	846
278	326	844
279	328	843
280	328	841
281	329	838
282	330	836
283	330	833
284	331	831
285	332	829
286	332	826
287	333	824
288	334	821
289	334	819
290	335	817
291	336	814
292	336	812
293	337	810
294	338	808
295	338	805
296	339	803
297	340	801
298	340	798
299	341	796
300	342	794
301	342	792
302	343	790
303	344	788
304	344	786
305	345	783
306	346	781
307	346	779
308	347	777
309	348	775
310	348	772
311	349	770
312	350	768
313	350	766
314	351	764
315	352	762
316	352	760
317	353	758
318	354	756
319	355	754
320	355	752
321	356	750
322	356	748
323	357	746
324	358	744
325	359	742
326	359	740
327	360	738
328	361	736
329	362	735
330	362	733
331	363	731
332	364	729
333	364	727
334	365	725
335	366	723
336	366	721
337	367	719
338	368	717
339	368	715
340	369	713
341	369	711
342	370	709
343	371	708
344	371	705
345	372	704
346	373	702
347	373	700
348	374	698
349	375	696
350	375	694
351	376	692
352	377	691
353	377	689
354	378	687
355	378	685
356	379	683
357	380	681
358	380	680
359	381	678
360	382	676
361	382	674
362	383	673
363	384	671
364	384	669
365	385	667
366	386	666
367	386	664
368	387	662
369	388	660
370	388	659
371	389	657
372	390	656
373	391	654
374	391	652
375	392	651
376	393	649
377	393	647
378	394	646
379	394	644
380	395	642
381	396	640
382	396	639
383	397	637
384	398	636
385	398	634
386	399	632
387	400	631
388	400	629
389	401	628
390	402	626
391	402	624
392	403	623
393	404	621
394	404	620
395	405	618
396	406	617
397	406	615
398	407	613
399	408	612
400	408	610
401	409	609
402	410	607
403	410	606
404	411	604
405	412	603
406	412	601
407	413	599
408	414	598
409	414	596
410	415	595
411	415	593
412	416	592
413	417	590
414	417	589
415	418	587
416	419	586
417	420	584
418	420	583
419	421	581
420	422	580
421	422	578
422	423	577
423	424	576
424	424	574
425	425	573
426	426	571
427	426	570
428	427	568
429	428	567
430	428	565
431	429	564
432	430	563
433	430	561
434	431	560
435	431	558
436	432	557
437	433	555
438	433	554
439	434	553
440	435	551
441	436	550
442	436	549
443	437	547
444	438	546
445	438	544
446	439	543
447	440	542
448	440	540
449	441	539
450	442	538
451	442	536
452	443	535
453	444	533
454	444	532
455	445	531
456	446	530
457	446	528
458	447	527
459	448	525
460	448	524
461	449	523
462	450	522
463	451	521
464	451	519
465	452	518
466	453	517
467	453	516
468	454	514
469	455	513
470	455	512
471	456	510
472	457	509
473	457	508
474	458	506
475	459	505
476	459	504
477	460	502
478	461	501
479	461	500
480	462	499
481	463	497
482	463	496
483	464	495
484	465	494
485	466	492
486	466	491
487	467	490
488	468	489
489	468	487
490	469	486
491	470	485
492	470	484
493	471	482
494	472	481
495	472	480
496	473	479
497	474	477
498	474	476
499	475	475
500	476	474
501	476	472
502	477	471
503	478	470
504	478	469
505	479	467
506	480	466
507	480	465
508	481	464
509	482	463
510	482	462
511	483	461
512	484	459
513	485	458
514	485	457
515	486	456
516	487	455
517	487	453
518	488	452
519	489	451
520	489	450
521	490	449
522	491	447
523	491	446
524	492	445
525	493	444
526	493	443
527	494	441
528	494	440
529	495	439
530	496	438
531	497	437
532	498	436
533	498	435
534	499	434
535	500	432
536	500	431
537	501	430
538	502	429
539	502	428
540	503	427
541	503	425
542	504	424
543	505	423
544	505	422
545	506	421
546	507	419
547	507	418
548	508	417
549	509	416
550	509	415
551	510	414
552	511	413
553	511	412
554	512	411
555	513	409
556	514	408
557	514	407
558	515	406
559	516	405
560	516	404
561	517	403
562	517	402
563	518	400
564	519	399
