iter	Passed	Remaining
0	137	137542
1	138	69170
2	139	46359
3	140	34950
4	141	28100
5	142	23537
6	142	20251
7	143	17786
8	144	15868
9	144	14329
10	145	13072
11	146	12023
12	146	11140
13	147	10378
14	148	9721
15	148	9144
16	149	8635
17	150	8200
18	151	7804
19	152	7451
20	152	7120
21	153	6821
22	154	6546
23	154	6293
24	155	6061
25	156	5847
26	156	5647
27	157	5466
28	158	5293
29	158	5139
30	159	4990
31	160	4847
32	160	4714
33	161	4588
34	162	4472
35	162	4360
36	163	4255
37	164	4156
38	164	4060
39	165	3973
40	166	3887
41	166	3805
42	167	3727
43	168	3652
44	168	3583
45	169	3518
46	170	3453
47	170	3390
48	171	3330
49	172	3272
50	172	3215
51	173	3169
52	174	3117
53	175	3067
54	175	3019
55	176	2973
56	177	2928
57	177	2887
58	178	2846
59	179	2807
60	179	2769
61	180	2732
62	181	2698
63	182	2665
64	182	2631
65	183	2598
66	184	2568
67	185	2538
68	185	2508
69	186	2477
70	187	2448
71	187	2420
72	188	2393
73	189	2366
74	189	2340
75	190	2314
76	190	2288
77	191	2264
78	192	2240
79	192	2218
80	193	2195
81	194	2174
82	194	2150
83	195	2129
84	195	2109
85	196	2090
86	197	2070
87	197	2050
88	198	2031
89	199	2013
90	200	1998
91	200	1982
92	201	1965
93	202	1948
94	202	1931
95	203	1915
96	203	1898
97	204	1882
98	205	1866
99	205	1851
100	206	1836
101	206	1822
102	207	1808
103	208	1794
104	209	1782
105	209	1769
106	210	1756
107	211	1743
108	211	1730
109	212	1718
110	213	1707
111	213	1695
112	214	1683
113	215	1672
114	215	1660
115	216	1649
116	217	1638
117	217	1628
118	218	1618
119	219	1607
120	219	1597
121	220	1586
122	221	1576
123	221	1567
124	222	1557
125	223	1547
126	223	1537
127	224	1528
128	225	1519
129	225	1510
130	226	1501
131	226	1492
132	227	1483
133	228	1474
134	228	1466
135	229	1458
136	230	1450
137	230	1442
138	231	1433
139	232	1425
140	232	1417
141	233	1408
142	233	1400
143	234	1392
144	234	1385
145	235	1378
146	236	1370
147	236	1363
148	237	1356
149	238	1349
150	238	1342
151	239	1336
152	240	1329
153	240	1323
154	241	1317
155	242	1310
156	243	1305
157	243	1298
158	244	1292
159	245	1286
160	245	1278
161	246	1272
162	246	1266
163	247	1260
164	247	1254
165	248	1248
166	249	1242
167	249	1236
168	250	1230
169	250	1224
170	251	1219
171	252	1214
172	252	1209
173	253	1203
174	254	1198
175	254	1193
176	255	1188
177	256	1183
178	256	1178
179	257	1173
180	258	1168
181	258	1163
182	259	1158
183	260	1153
184	260	1148
185	261	1143
186	261	1138
187	262	1134
188	263	1129
189	263	1124
190	264	1119
191	265	1115
192	265	1111
193	266	1106
194	266	1102
195	267	1097
196	268	1093
197	268	1088
198	269	1085
199	270	1080
200	270	1076
201	271	1072
202	272	1068
203	272	1064
204	273	1060
205	274	1056
206	274	1052
207	275	1048
208	276	1044
209	276	1040
210	277	1037
211	277	1033
212	278	1029
213	279	1025
214	279	1022
215	280	1018
216	281	1014
217	281	1011
218	282	1007
219	283	1003
220	283	1000
221	284	996
222	284	992
223	285	989
224	286	985
225	286	982
226	287	979
227	288	975
228	288	972
229	289	969
230	290	965
231	290	962
232	291	959
233	292	955
234	292	952
235	293	949
236	294	946
237	294	943
238	295	939
239	295	937
240	296	933
241	297	930
242	297	927
243	298	924
244	299	921
245	299	918
246	300	915
247	300	912
248	301	909
249	302	907
250	303	904
251	303	901
252	304	898
253	305	895
254	305	893
255	306	890
256	307	887
257	307	885
258	308	882
259	309	879
260	309	877
261	310	874
262	311	871
263	311	869
264	312	866
265	312	863
266	313	860
267	314	858
268	314	855
269	315	852
270	316	850
271	316	847
272	317	845
273	318	842
274	318	840
275	319	837
276	319	835
277	320	832
278	321	830
279	321	827
280	322	825
281	323	822
282	323	820
283	324	817
284	325	815
285	325	813
286	326	810
287	327	808
288	327	806
289	328	804
290	329	802
291	329	799
292	330	797
293	331	795
294	331	793
295	332	790
296	333	788
297	333	786
298	334	784
299	335	782
300	335	780
301	336	778
302	337	776
303	338	774
304	338	771
305	339	769
306	339	767
307	340	765
308	341	762
309	341	760
310	342	758
311	342	756
312	343	753
313	344	751
314	344	749
315	345	747
316	346	745
317	346	743
318	347	741
319	348	739
320	348	737
321	349	735
322	349	733
323	350	731
324	351	729
325	351	727
326	352	725
327	353	723
328	354	722
329	354	719
330	355	718
331	355	716
332	356	714
333	357	712
334	357	710
335	358	708
